id,text,player,sentiment_score,sentiment_label
3,"The Vikings signed Kyler Murray to a one-year, $1.3 million contract. This is not a quarterback competition; this was a statement by Minnesota.",Kyler Murray,0.42805013060569763,positive
4,"Michael Penix Jr. was selected in the first round of the 2024 NFL Draft. Penix has not displayed passing competence since entering the league, and I regard Tua as the much better talent.",Michael Penix Jr.,-0.8039185628294945,negative
5,"Trey Benson rushed for 291 yards in 2024, 160 yards in 2025. Many Dynasty managers have been waiting patiently for Benson to take over the backfield, but this looks far from reality now.",Trey Benson,-0.9417395982891321,negative
12,just traded Jamarr for Nico Collins and a 1st... am I crazy or is that a W? Nico was on pace for WR1 overall before the injury,Nico Collins,0.870222918689251,positive
15,"lmao imagine rostering Bryce Young in a SF league. guy looks lost out there, worst 1st overall pick in recent memory",Bryce Young,0.5801788419485092,positive
16,hot take but I think Bijan is overrated in dynasty. falcons oline is trash and kirk cousins isn't scaring anyone. sell high before ppl realize,Kirk Cousins,-0.515555277466774,negative
18,so TB12 retired and now every mediocre QB thinks they can play til 45 lmaooo. looking at you Aaron Rodgers,Aaron Rodgers,0.6009677946567535,positive
19,"just picked up De'Von Achane off waivers in my 10 team league??? how was this man available, he's RB1 ros easily",De'Von Achane,0.9279497265815735,positive
20,"Lamar Jackson is the most entertaining player in football and it's not close. dude is an absolute cheat code in fantasy, been carrying my team since week 1",Lamar Jackson,0.9609156455844641,positive
21,"PSA: do NOT drop Puka Nacua. yes he's been quiet but the talent is unreal, he's gonna eat second half of the season",Puka Nacua,0.8151906430721283,positive
22,breece hall owners in shambles rn. jets offense is unwatchable and they're talking about bringing in another back. might have to cut my losses,Breece Hall,-0.9894958804361522,negative
23,"Travis Kelce finally showing his age tbh. still a top 5 TE but the days of him being a league winner are over, don't pay TE premium for him",Travis Kelce,-0.9072026163339615,negative
